pays,Évolution population (%),dispo_calories,dispo_proteines,ratio_prot_anim,PIB_par_habitant,taux_suffisance,dep_import,groupe_cah,groupe_km,F1,F2
Italie,2.39,1279325.0,38157.100000000006,53.19,33089.573308,115.96925704526046,8.02732707087959,4,1,-2.3506836991573645,-0.9021349798927237
Japon,-1.34,982215.0,32127.3,55.86,40063.485352,90.04702194357367,42.86833855799373,3,1,-1.3688335992024583,0.17840930168895053
Canada,9.8,1291735.0,39620.75,56.31,46550.335507,97.85296031229667,11.646063760572543,4,1,-2.5293297840062987,-0.2920053942502903
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,6.96,1239175.0,38759.35,55.43,41854.503068,81.42123287671232,34.16095890410959,4,1,-2.2516900274920686,0.2448362600553516
Lituanie,-14.77,1244650.0,42354.600000000006,58.5,19795.215752,117.64705882352942,57.647058823529406,3,1,-3.0141434096297126,-0.41351543266981416
Chine - RAS de Macao,17.81,1208880.0,39168.15,64.46,84096.705446,13.636363636363635,145.45454545454547,5,1,-2.746484517542755,3.8347162385896727
Belgique,5.89,1387000.0,36624.1,60.37,46198.310321,239.57219251336898,171.12299465240642,3,1,-3.474027289324486,0.22745498235693792
États-Unis d'Amérique,6.92,1409630.0,41978.65,66.02,65133.731652,118.4659238144597,0.6374708473697849,4,1,-3.827487768418329,-0.5577417579478108
Nouvelle-Zélande,9.61,1178220.0,35204.25,57.68,43229.343479,107.62331838565022,0.4484304932735426,4,1,-1.928161114022745,-0.6329030916195139
Autriche,6.5,1347215.0,39766.75,59.19,49700.761833,74.57627118644068,63.84180790960452,4,1,-2.898255297906546,0.9383775841092411
Australie,13.7,1247205.0,39398.1,67.55,54763.202388,102.81576830249396,0.7240547063555913,4,1,-2.760504125806903,-0.29116690507926807
Norvège,10.26,1258885.0,42442.2,55.39,74985.515257,98.1651376146789,2.7522935779816518,4,1,-3.123386248067388,-0.13186683838433452
Luxembourg,19.36,1278960.0,39766.75,61.08,115480.86757,0.0,100.0,5,1,-3.3667425793863797,3.5864284228851444
Portugal,-3.7,1262170.0,42975.1,63.91,23350.353854,104.4776119402985,26.865671641791046,3,1,-2.9049945544833036,-0.49250551700356804
Israël,15.6,1298670.0,46026.5,60.56,46376.46651,100.81699346405229,0.0,4,1,-2.9006213736458757,-0.40623386065031497
Irlande,7.95,1391015.0,40533.25,57.05,81636.578555,111.59420289855073,68.84057971014492,4,1,-3.723975942781876,0.803779858014055
République de Corée,3.67,1260345.0,36135.0,54.4,32143.085012,87.64976958525345,17.050691244239633,4,1,-2.042203874357148,-0.305155411583725
Finlande,3.43,1211800.0,42876.55,62.15,48678.365212,118.80341880341881,14.529914529914532,4,1,-3.008381399639641,-0.5472749689315982
Suède,7.21,1162160.0,39456.5,64.15,52895.9567,66.10878661087865,35.146443514644346,4,1,-2.481401869229327,0.7132628670901141
Espagne,0.33,1222020.0,39617.100000000006,62.94,29815.717809,103.81922342457032,11.966900063653723,4,1,-2.526925527188737,-0.611658370933894
Allemagne,3.13,1299035.0,38047.6,60.15,46231.563366,90.18691588785047,48.53971962616823,4,1,-2.76619135205828,0.379577793513972
Suisse,10.21,1233335.0,35463.4,63.1,85134.954826,66.44295302013423,30.201342281879196,4,1,-2.9232377049560085,0.9840047738993435
Danemark,4.25,1248665.0,42113.7,66.49,60656.938517,108.21917808219179,97.26027397260275,4,1,-3.412495455318548,1.1773253456671016
